"","Family","Subfamily","Tribe","Genus","animal","type","caste.number","caste.number.ref","colony.size","colony.size.ref","queen.mating.frequency.original","queen.number.continuous","queen.number.binary","Inherent_Constraints_Scale","Conditional_Constraints_Scale","Constraints_Confidence","Constraints_Scale_Notes","Ref.2","Supercolonial.Helantera.review_no.stringent.nonstringent","social.parasite.Antwiki_no.yes","clonal","hybridisation","Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies","Min_size","Max_size","Raw_Data_all_workers","Sample_size_all_workers","Queen_HW_mean","Queen_HW_mean.1","Sample_size_queen","Raw_data_queen"
"1111","Formicidae","Dolichoderinae","Leptomyrmecini","Dorymyrmex","Dorymyrmex_bureni","ant",1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",1000,"King & Porter, 2007","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1112","Formicidae","Dolichoderinae","Leptomyrmecini","Dorymyrmex","Dorymyrmex_elegans","ant",1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",1000,"King & Porter, 2007","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1113","Formicidae","Dolichoderinae","Leptomyrmecini","Dorymyrmex","Dorymyrmex_grandulus","ant",1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",1000,"King & Porter, 2007","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1114","Formicidae","Dolichoderinae","Leptomyrmecini","Dorymyrmex","Dorymyrmex_insanus","ant",1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017; Godfrey & Gronenberg, 2020",NA,"","1,09","1",0,NA,NA,NA,"",NA,0,0,0,0,0,0.684,0.802,"0.802, 0.733, 0.698, 0.698, 0.684, 0.687, 0.777",7,1.116,NA,1,"1.116"
"1115","Formicidae","Dolichoderinae","Leptomyrmecini","Dorymyrmex","Dorymyrmex_reginicula","ant",1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",1000,"King & Porter, 2007","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1116","Formicidae","Dorylinae - was Ecitoninae",NA,"Eciton","Eciton_burchellii","ant",4,"Holldobler&Wilson, 1990; Baudier & O'Donnell, 2018; Powell & Franks, 2006; Jaffe et al., 2007; Powell & Franks, 2005; Wheeler, 1991",699995,"Shik, 2008; Holldobler & Wilson, 1990; Schneirla, 1971; Kaspari & Vargo, 1995","11,82","1",0,4,4,1,"no offspring. Villesen, P., and J. J. Boomsma. ""Patterns of male parentage in the fungus-growing ants."" Behavioral Ecology and Sociobiology 53.4 (2003): 246-253",NA,0,0,0,0,0,1.09,3.291,"3.055, 1.675, 1.231, 3.202, 3.291, 1.09, 3.056, 1.633, 3.143, 3.256",10,NA,NA,NA,NA
"1117","Formicidae","Dorylinae",NA,"Eciton - crassinode subspecies was previously included.","Eciton_dulcium","ant",3,"Holldobler&Wilson, 1990; Powell & Franks, 2005",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1118","Formicidae","Dorylinae - was Ecitoninae","Without tribe - was Ecitonini","Eciton","Eciton_hamatum","ant",4,"Holldobler&Wilson, 1990; Powell & Franks, 2005",250000,"Shik, 2008; Holldobler & Wilson, 1990","","1",0,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1119","Formicidae","Dorylinae",NA,"Eciton","Eciton_mexicanum","ant",3,"Holldobler&Wilson, 1990; Powell & Franks, 2005",5e+05,"Barth et al., 2014","13,71","1",0,NA,NA,NA,"",NA,0,0,0,0,0,0.931,2.412,"1.343, 1.219, 2.412, 1.409, 0.931, 2.316",6,NA,NA,NA,NA
"1120","Formicidae","Dorylinae",NA,"Eciton","Eciton_rapax","ant",3,"Holldobler&Wilson, 1990",275000,"Beckers et al., 1989","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
