animal,Inherent_Constraints_Scale
Dolichoderus.quadripunctatus,3
Dolichoderus.validus,3
Dorylus.nigricans,3
Dorylus.wilverthi,3
Eciton.burchellii,4
Eutetramorium.mocquerysi,3
Formica.argentea,3
Formica.fusca,3
Formica.neorufibarbis,3
Formica.pallidefulva,3
Formica.pratensis,3
Hypoponera.eduardi,4
Hypoponera.inexorata,4
Hypoponera.opaciceps,4
Hypoponera.opacior,4
Hypoponera.ragusai,4
Iridomyrmex.purpureus,3
Lasius.alienus,3
Lasius.brunneus,3
Lasius.niger,3
Leptanilla.japonica,4
Leptogenys.attenuata,4
Leptogenys.castanea,4
Leptogenys.intermedia,4
Leptogenys.mjobergi,4
Leptothorax.acervorum,3
Leptothorax.gredleri,3
Messor.capitatus,3
Messor.ebeninus,3
Monomorium.minimum,4
Monomorium.rothsteini,4
Monomorium.viridum,4
Mycetagroicus.cerradensis,4
Myrmecia.forficata,3
Myrmecia.gulosa,3
Myrmecia.mandibularis,3
Myrmecia.nigrocincta,3
Myrmecia.piliventris,3
Myrmecia.pilosula,3
Myrmecia.vindex,3
Myrmica.kotokui,3
Myrmica.ruginodis,3
Mystrium.camillae,4
Mystrium.mysticum,4
Mystrium.oberthueri,4
Mystrium.rogeri,3
Nothomyrmecia.macrops,3
Ocymyrmex.robustior,4
Odontomachus.brunneus,3
Odontomachus.chelifer,4
Odontomachus.coquereli,3
Odontomachus.haematodus,3
Odontomachus.rixosus,3
Oecophylla.longinoda,3
Oecophylla.smaragdina,3
Pheidole.adrianoi,4
Pheidole.bicarinata,4
Pheidole.biconstricta,4
Pheidole.bicornis,4
Pheidole.bilimeki,4
Pheidole.cerebrosior,4
Pheidole.cramptoni,4
Pheidole.dentata,4
Pheidole.dentigula,4
Pheidole.desertorum,4
Pheidole.embolopyx,4
Pheidole.fallax,4
Pheidole.fervens,4
Pheidole.fervida,4
Pheidole.fiorii,4
Pheidole.flavens,4
Pheidole.floridana,4
Pheidole.gilvescens,4
Pheidole.harrisonfordi,4
Pheidole.hortensis,4
Pheidole.hyatti,4
Pheidole.indica,4
Pheidole.lamia,4
Pheidole.metallescens,4
Pheidole.minutula,4
Pheidole.moerens,4
Pheidole.morrisii,4
Pheidole.multispina,4
Pheidole.nigricula,4
Pheidole.obscurithorax,4
Pheidole.obtusospinosa,4
Pheidole.pallidula,4
Pheidole.pilifera,4
Pheidole.praeses,4
Pheidole.rhea,4
Pheidole.rugulosa,4
Pheidole.ryukyuensis,4
Pheidole.soritis,4
Pheidole.spadonia,4
Pheidole.specularis,4
Pheidole.tepicana,4
Pheidole.tysoni,4
Pheidole.umphreyi,4
Pheidole.vallicola,4
Pheidole.vistana,4
Pheidole.xerophila,4
Pheidole.zeteki,4
Plagiolepis.pygmaea,3
Platythyrea.conradti,3
Plectroctena.mandibularis,3
Pogonomyrmex.badius,3
Pseudomyrmex.gracilis,3
Rhytidoponera.impressa,2
Rhytidoponera.purpurea,3
Sericomyrmex.amabilis,4
Simopelta.pentadentata,4
Simopelta.pergandei,3
Solenopsis.globularia,4
Solenopsis.molesta,4
Solenopsis.nickersoni,4
Solenopsis.pergandei,4
Solenopsis.picta,4
Solenopsis.richteri,4
Solenopsis.substituta,4
Solenopsis.tennesseensis,4
Solenopsis.tonsa,4
Solenopsis.tridens,4
Solenopsis.virulens,4
Temnothorax.albipennis,3
Temnothorax.allardycei,3
Temnothorax.ambiguus,3
Temnothorax.bradleyi,3
Temnothorax.crassispinus,3
Temnothorax.interruptus,3
Temnothorax.lichtensteini,3
Temnothorax.longispinosus,3
Temnothorax.luteus,3
Temnothorax.nadigi,3
Temnothorax.neomexicanus,3
Temnothorax.niger,3
Temnothorax.nigriceps,3
Temnothorax.nitens,3
Temnothorax.nylanderi,3
Temnothorax.obliquicanthus,3
Temnothorax.palustris,3
Temnothorax.pardoi,3
Temnothorax.parvulus,3
Temnothorax.pergandei,3
Temnothorax.racovitzai,3
Temnothorax.recedens,3
Temnothorax.rugatulus,3
Temnothorax.salvini,3
Temnothorax.schaumii,3
Temnothorax.smithi,3
Temnothorax.subditivus,3
Temnothorax.texanus,3
Temnothorax.tuberum,3
Temnothorax.tuscaloosae,3
Temnothorax.unifasciatus,3
Tetramorium.aculeatum,4
Tetramorium.adelphon,4
Tetramorium.caespitum,4
Tetramorium.caldarium,4
Tetramorium.forte,4
Tetramorium.impurum,4
Tetramorium.melleum,4
Tetramorium.semilaeve,4
Tetramorium.simillimum,4
Tetramorium.spinosum,4
Tetramorium.tsushimae,4
Tetraponera.penzigi,3
