animal,Family,Subfamily,Tribe,Genus,type,caste.number,caste.number.ref,colony.size,colony.size.ref,queen.mating.frequency.original,queen.number.continuous,queen.number.binary,Supercolonial.Helantera.review_no.stringent.nonstringent,social.parasite.Antwiki_no.yes,clonal,hybridisation,Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies,Min_size,Max_size,Raw_Data_all_workers,Sample_size_all_workers,Queen_HW_mean,Queen_HW_mean.1,Sample_size_queen,Raw_data_queen
Acanthognathus_brevicornis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0.68,NA,NA
Acanthognathus_laevigatus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthognathus_lentus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthognathus_ocellatus,Formicidae,Myrmicinae,Attini,Acanthognathus,ant,1,"Blanchard & Moreau, 2017",10,"Kaspari & Vargo, 1995",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0.67,NA,NA
Acanthognathus_rudis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0.63,NA,NA
Acanthognathus_stipulosus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthognathus_teledectus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthomyrmex_careoscrobis,Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,ant,2,"Yamada et al., 2018",22.2,"Yamada et al., 2018",,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthomyrmex_crassispinus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthomyrmex_ferox,Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,ant,2,"Holldobler&Wilson, 1990; Gobin & Ito, 2000",53,"Holldobler & Wilson, 1990; Kaspari & Vargo, 1995",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,2.44,NA,NA
Acanthomyrmex_minus,Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1.08,NA,NA
Acanthomyrmex_notabilis,Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,ant,2,"Holldobler&Wilson, 1990",40,"Holldobler & Wilson, 1990",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthomyrmex_padanensis,Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA
Acanthomyrmex_sulawesiensis,Formicidae,Myrmicinae,Myrmecinini,Acanthomyrmex,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,2.5,NA,NA
Acanthotichus_arizonensis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_bentoni,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_brevicornis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_concavinodis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_emmae,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1.03,NA,NA
Acanthotichus_fermoralis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_hispaniolicus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_kirbyi,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_laevigatus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_laticornis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1.82,NA,NA
Acanthotichus_lattekei,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_longinodis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_punctiscapus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_quadratus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,2.1,NA,NA
Acanthotichus_quirozi,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_serratulus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_texanus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthotichus_truncatus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_ambiguus,NA,NA,NA,NA,ant,NA,,NA,,5.919,1.25,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_balzani,NA,NA,NA,Acromyrmex,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_brunneus,NA,NA,NA,NA,ant,NA,,NA,,,"1,275",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_coronatus,Formicidae,Myrmicinae,Attini,Acromyrmex,ant,NA,,85325,"Wetterer, 1999",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_crassipinus,NA,NA,NA,NA,ant,NA,,NA,,4.51,1.17,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_crassispinus,Formicidae,Myrmicinae,Attini,Acromyrmex,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_echinatior,Formicidae,Myrmicinae,Attini,Acromyrmex,ant,2,"Dijkstra et al., 2005; Howe et al., 2016; Ivens et al., 2009; Poulsen et al., 2002",21548,"Ferguson-Gow, 2014; Gadau et al., 2012; Dijkstra et al., 2010; Sanders, personal communication","5,3",1.35,1,0,0,0,0,0,1.451,2.847,"1.451, 2.847",2,NA,NA,NA,NA
Acromyrmex_heyeri,NA,NA,NA,NA,ant,NA,,NA,,4.433,1.15,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_insinuator,Formicidae,Myrmicinae,Attini,Acromyrmex,ant,NA,"Wilson,1978; Dijkstra et al., 2005",2800,"Ferguson-Gow, 2014; Jaffe et al., 2012 - (Sumner et al., 2004a; Sumner et al., 2004b)",1.09,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_landolti,Formicidae,Myrmicinae,Attini,Acromyrmex,ant,NA,,1000,"Beckers et al., 1989",,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_lobicornis,NA,NA,NA,NA,ant,NA,,9053,"Sanders, personal communication",2.356,1.39,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_lundii,NA,NA,NA,NA,ant,NA,,NA,,3.329,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_molestans,NA,NA,NA,NA,ant,NA,,NA,,,"1,6",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_octospinosus,Formicidae,Myrmicinae,Attini,Acromyrmex,ant,2,"Dijkstra et al., 2005; Wetterer, 1999; Poulsen et al., 2003; Currie et al., 2003; Bot & Boomsma, 1996",22005.5,"Ferguson-Gow, 2014; Boomsma et al., 1999; Murakami et al., 2000; Wetterer, 1999; Beckers et al., 1989","3,93",1,0,0,0,0,0,0,1.903,2.566,"2.084, 1.903, 2.327, 2.541, 2.566",5,NA,NA,NA,NA
Acromyrmex_rugosus,Formicidae,Myrmicinae,Attini,Acromyrmex,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_subterraneus,Formicidae,Myrmicinae,Attini,Acromyrmex,ant,2,"Dijkstra et al., 2005; Calheiros et al., 2019; Amaral et al., 2019",4766.2,"Ferguson-Gow et al., 2014",,"1,06",1,0,0,0,0,0,1.189,3.162,"1.793, 2.113, 1.189, 2.564, 2.917, 2.217, 3.162, 2.296, 1.403, 1.815, 2.559",11,NA,NA,NA,NA
Acromyrmex_versicolor,Formicidae,Myrmicinae,Attini,Acromyrmex,ant,NA,,10000,"Julian & Cahan, 1999",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acromyrmex_volcanus,Formicidae,Myrmicinae,Attini,Acromyrmex,ant,NA,,16300,"Wetterer, 1999",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acropyga_bakwele,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acropyga_butteli,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acropyga_epedana,Formicidae,Formicinae,Lasiini,Acropyga,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0.6,NA,NA
Acropyga_keira,Formicidae,Formicinae,Lasiini,Acropyga,ant,1,"Oster & Wilson, 1978",NA,,,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acropyga_nipponensis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acropyga_smithii,Formicidae,Formicinae,Lasiini,Acropyga,ant,1,"Oster & Wilson, 1978",NA,,,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Acropyga_sp.,Formicidae,Formicinae,Lasiini,Acropyga,ant,1,"Oster & Wilson, 1978",NA,"Holldobler&Wilson, 1990; Burchill & Moreau, 2016 - (citing Kaspari & Vargo, 1995)",NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Acropyga_stygia,Formicidae,Formicinae,Lasiini,Acropyga,ant,1,"Oster & Wilson, 1978",NA,NA,NA,NA,NA,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA
Adelomyrmex_anxiocalor,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Adelomyrmex_biroi,Formicidae,Myrmicinae,Adelomyrmecini,Adelomyrmex,ant,1,"Oster & Wilson, 1978",10,"Wilson, 1959",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Adelomyrmex_bispeculum,Formicidae,Myrmicinae,Adelomyrmecini,Adelomyrmex,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Adelomyrmex_coco,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Adelomyrmex_dentivagans,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Adelomyrmex_marginodus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Adelomyrmex_metzabok,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Adelomyrmex_nortenyo,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Adelomyrmex_paratristani,Formicidae,Myrmicinae,Adelomyrmecini,Adelomyrmex,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Adelomyrmex_quetzal,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_acerbus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_aratus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_carolianus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_currax,Formicidae,Dorylinae - was Aenictidae,Without tribe - was Aenictini,Aenictus,ant,1,"Oster & Wilson, 1978; Yamane & Hashimoto, 1999; Wilson, 1964; Gotwald, 1995",150000,"Holldobler & Wilson, 1990; Kaspari & Vargo, 1995",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_dentatus,Formicidae,Dorylinae,NA,Aenictus,ant,1,"Oster & Wilson, 1978; Yamane & Hashimoto, 1999; Wilson, 1964; Gotwald, 1995",325000,"Schneirla, 1971; Kronauer et al., 2007","25,9",1,0,0,0,0,0,0,0.812,0.878,"0.878, 0.812, 0.831",3,NA,NA,NA,NA
Aenictus_diclops,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_doydeei,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_gracilis,Formicidae,Dorylinae,NA,Aenictus,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_hottai,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_inflatus,Formicidae,Dorylinae,NA,Aenictus,ant,2,"Yamane & Hashimoto, 1999; Jaitrong & Yamane, 2011",NA,,,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_jarujini,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_laeviceps,Formicidae,Dorylinae,NA,Aenictus,ant,1,"Oster & Wilson, 1978; Yamane & Hashimoto, 1999; Wilson, 1964; Gotwald, 1995",92500,"Beckers 1989; Schneirla, 1971","18,8",1,0,0,0,0,0,0,0.59,0.751,"0.751, 0.745, 0.649, 0.59",4,NA,NA,NA,NA
Aenictus_latifemoratus,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_lifuiae,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_nesiotis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_nishimurai,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_pfeifferi,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_philiporum,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_silvestrii,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_turneri,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aenictus_yamanei,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Agelaia_areata,Formicidae,Pseudomyrmecinae,Pseudomyrmecini,Tetraponera - synonymous with Tetraponera_unidens and Tetraponera_nasuta,wasp,1,"Jeanne & Fagen, 1974",NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Agelaia_multipicta,Vespidae,Polistinae,Epiponini,Agelaia,wasp,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Agelaia_pallipes,Vespidae,Polistinae,Epiponini,Agelaia,wasp,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Agelaia_vicina,Vespidae,Polistinae,Epiponini,Agelaia,wasp,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Allomerus_octoarticulatus,Formicidae,Myrmicinae,Attini,Allomerus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",116,"Jaffe et al., 2012","1,14","1,1",0,0,0,0,0,0,0.402,0.546,"0.546, 0.476, 0.515, 0.402, 0.495, 0.483, 0.527, 0.463, 0.48, 0.484",10,0.913,NA,1,0.913
Amblyopone_australis,Formicidae,Amblyoponinae,Amblyoponini,Amblyopone,ant,1,"Peeters & Molet, 2010; Wilson, 1978",64,"Peeters & Molet, 2012; Villet, 1990",NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Amblyopone_pallipes,Formicidae,Amblyoponinae,Amblyoponini,Amblyopone - could be junior synonym of Stigmatomma_pallipes,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA
Amblyopone_sp1,Formicidae,Amblyoponinae,Amblyoponini,Amblyopone,ant,1,"Wilson, 1978",89,"Ito, 1991; Burchill & Moreau, 2016 - (citing Kaspari & Vargo, 1995)",NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ancestor_a,Scoliidae,NA,NA,Ancestor,ancestor,0,NA,1,NA,1,NA,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ancyridris_sp. 1,Formicidae,Myrmicinae,Crematogastrini,Ancyridris,ant,NA,NA,15,"Burchill & Moreau, 2016 - (citing Wilson, 1959)",NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Aneuretus_simoni,Formicidae,Aneuretinae,Aneuretini,Aneuretus,ant,2,"Holldobler&Wilson, 1990; Billen, 2017a",61.88,"Beckers et al., 1989; Jayasuriya & Traniello, 1985",,"1,29",1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Angiopolybia_pallens,Vespidae,Polistinae,Epiponini,Agelaia,wasp,1,"Gelin et al., 2008",NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Anictus_pangantihoni,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Anochetus_bequaerti,Formicidae,Ponerinae,Ponerini,Anochetus,ant,1,"Blanchard & Moreau, 2017",84,"Kaspari & Vargo, 1995",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Anochetus_boltoni,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Anochetus_diegensis,Formicidae,Ponerinae,Ponerini,Anochetus,ant,1,"Blanchard & Moreau, 2017",13,"Kaspari & Vargo, 1995",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Anochetus_elegans,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Anochetus_faurei,Formicidae,Ponerinae,Ponerini,Anochetus,ant,1,"Blanchard & Moreau, 2017",434,"Kaspari & Vargo, 1995",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Anochetus_goodmani,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1.57,NA,NA
Anochetus_grandidieri,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0.94,NA,NA
Anochetus_katonae,Formicidae,Ponerinae,Ponerini,Anochetus,ant,1,"Blanchard & Moreau, 2017",84,"Kaspari & Vargo, 1995",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Anochetus_levaillanti,Formicidae,Ponerinae,Ponerini,Anochetus,ant,1,"Blanchard & Moreau, 2017",100,"Antwiki, 2015",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Anochetus_madegascarensis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1.52,NA,NA
Anochetus_maryatiae,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Anochetus_miserabilis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1.74,NA,NA
Anochetus_pattersoni,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1.29,NA,NA
Anochetus_risii,NA,NA,NA,NA,ant,1,"Blanchard & Moreau, 2017",70,"Sanders, personal communication",,,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anochetus_vallensis,NA,NA,NA,NA,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1.22,NA,NA
Anonychomyrma_scrutator,Formicidae,Dolichoderinae,Leptomyrmecini,Anonychomyrma,ant,1,"Blanchard & Moreau, 2017; Heterick & Shattuck, 2011",2500,"Holldobler & Wilson, 1990; Kaspari & Vargo, 1995",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Anoplolepis_custodiens,Formicidae,Formicinae,Lasiini,Anoplolepis,ant,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Anoplolepis_gracilipes,Formicidae,Formicinae,Lasiini,Anoplolepis,ant,1,"Holway et al., 2002",15000,www.antprofiler.org,NA,NA,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aphaenogaster_aktaci,Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aphaenogaster_araneoides,Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017; Rajakumar et al., 2018",NA,,,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aphaenogaster_ashmeadi,Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",218.5,"King & Porter, 2007; Tschinkel, 2011",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aphaenogaster_carolinensis,Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",NA,,1,1,0,0,0,0,0,0,0.773,0.965,"0.788, 0.773, 0.965",3,1.139,NA,1,1.139
Aphaenogaster_dromedaria,Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",100,"Wilson, 1959",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aphaenogaster_dulcineae,Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",NA,,,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aphaenogaster_exasperata,NA,NA,NA,NA,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",NA,,,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphaenogaster_flemingi,Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",300,"King & Porter, 2007",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aphaenogaster_floridana,Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",116.5,"King & Porter, 2007; Tschinkel, 2011",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aphaenogaster_fulva,Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",281,"Geraghty et al., 2007",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aphaenogaster_gibbosa,Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",400,"Parr et al., 2017",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aphaenogaster_lamellidens,Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",300,"King & Porter, 2007",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aphaenogaster_maculifrons,Formicidae,Myrmicinae,Pheidolini,Aphaenogaster,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1.18,NA,NA
