animal,Family,Subfamily,Tribe,Genus,type,caste.number,caste.number.ref,colony.size,colony.size.ref,queen.mating.frequency.original,queen.number.continuous,queen.number.binary,Supercolonial.Helantera.review_no.stringent.nonstringent,social.parasite.Antwiki_no.yes,clonal,hybridisation,Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies,Min_size,Max_size,Raw_Data_all_workers,Sample_size_all_workers,Queen_HW_mean,Queen_HW_mean.1,Sample_size_queen,Raw_data_queen
Nylanderia_phantasma,Formicidae,Formicinae,Plagiolepidini,Nylanderia - synonymous with Paratrechina_phantasma,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",100,"King & Porter, 2007",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nylanderia_steinheili,Formicidae,Formicinae,Lasiini,Nylanderia - synonymous with Paratrechina_steinheili,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",143,"Kaspari & Vargo, 1995",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nylanderia_terricola,Formicidae,Formicinae,Lasiini,Nylanderia - synonymous with Paratrechina_melanderi + Nylanderia_melanderi,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",137.5,"Lynch et al., 1980",,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nylanderia_vividula,Formicidae,Formicinae,Plagiolepidini,Nylanderia,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",NA,,,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nylanderia_wojciki,Formicidae,Formicinae,Plagiolepidini,Nylanderia - synonymous with Paratrechina_wojciki,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",100,"King & Porter, 2007",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ochetellus_glaber,Formicidae,Dolichoderinae,Leptomyrmecini,Ochetellus,ant,1,"Blanchard & Moreau, 2017",416,"Bertelsmeier et al., 2013",,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ocymyrmex_barbiger,Formicidae,Myrmicinae,Pheidolini,Ocymyrmex,ant,1,"Blanchard & Moreau, 2017",200,"Beckers et al., 1989",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ocymyrmex_foreli,Formicidae,Myrmicinae,Pheidolini,Ocymyrmex,ant,1,"Blanchard & Moreau, 2017",713,"Forder & Marsh, 1989",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ocymyrmex_robustior,Formicidae,Myrmicinae,Pheidolini,Ocymyrmex,ant,1,"Lecocq de Pletincx et al., 2019; Oster & Wilson, 1978; Blanchard & Moreau, 2017",347.6,"Lecocq de Pletincx et al., 2019",1,"1,32",1,0,0,0,0,0,1.28,1.522,"1.522, 1.280, 1.337",3,NA,NA,NA,NA
Odontomachus_affinis,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",NA,,,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
